# Rime user dictionary
#@/db_name	ryen.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	206684
#@/user_id	mac_didi
a 	啊	c=96 d=1 t=206266
lang ya 	琅琊	c=1 d=1 t=96875
lao 	佬	c=1 d=1 t=126616
lao 	勞	c=1 d=1 t=114592
lao 	撈	c=4 d=1 t=169406
lao 	老	c=35 d=1.9802 t=199821
lao ba 	老爸	c=1 d=1 t=40385
lao ban 	老闆	c=66 d=1.00079 t=201718
lao ban yao 	老闆要	c=1 d=1 t=198031
lao biao 	老表	c=2 d=1 t=82106
lao can 	老殘	c=2 d=1 t=85466
lao chen 	老陳	c=1 d=1 t=69346
lao da 	老大	c=10 d=1.89137 t=35360
lao de 	老的	c=1 d=1 t=176902
lao dong 	勞動	c=3 d=1 t=195748
lao dong jie 	勞動節	c=1 d=1 t=156298
lao gong 	老公	c=1 d=1 t=184529
lao hu 	老虎	c=1 d=1 t=103751
lao hu ji 	老虎機	c=4 d=1 t=170774
lao lao 	姥姥	c=1 d=0.0168231 t=4073
lao lao shi shi 	老老實實	c=2 d=1 t=153362
lao luo 	老羅	c=1 d=1 t=206587
lao nian ren 	老年人	c=2 d=1.91851 t=43695
lao po 	老婆	c=2 d=1 t=166420
lao ren 	老人	c=3 d=1 t=84411
lao shi 	老實	c=2 d=1 t=185195
lao shi 	老師	c=35 d=1.956 t=202501
lao shi 	老是	c=4 d=1 t=204652
lao shi dun hou 	老師敦厚	c=1 d=1 t=97409
lao shi hao 	老師好	c=2 d=1.96561 t=151398
lao shu 	老鼠	c=1 d=1 t=138123
lao si ji 	老司機	c=1 d=1 t=170880
lao tai 	老太	c=4 d=1.38098 t=184704
lao tong shi 	老同事	c=1 d=1 t=94199
lao tou 	老頭	c=6 d=1.1299 t=185252
lao wang 	老王	c=3 d=1 t=137394
lao yang zi 	老樣子	c=1 d=1 t=43830
lao yi jie he 	勞逸結合	c=1 d=1 t=119191
le 	了	c=3700 d=8.41997 t=206425
le 	樂	c=11 d=1 t=187157
le gao 	樂高	c=3 d=2.98506 t=84004
le guan 	樂觀	c=1 d=1 t=114798
le qu 	樂趣	c=4 d=1 t=165684
lei 	淚	c=2 d=1 t=43687
lei 	磊	c=20 d=1 t=199475
lei 	累	c=4 d=1 t=187911
lei 	雷	c=11 d=1.0028 t=114663
lei 	類	c=27 d=1.00001 t=205497
lei bi 	類比	c=3 d=2.19681 t=134365
lei bie 	類別	c=9 d=1.97045 t=187358
lei de 	雷德	c=1 d=1 t=68015
lei dian 	雷電	c=1 d=1 t=86005
lei huo 	雷火	c=1 d=1 t=50000
lei ji 	累積	c=14 d=1 t=136842
lei ji 	累計	c=1 d=0.00168667 t=4073
lei jia 	累加	c=9 d=1 t=172464
lei jun 	雷軍	c=9 d=1 t=156210
lei long 	雷龍	c=2 d=1.12682 t=49891
lei nuo 	雷諾	c=1 d=1 t=93275
lei shen 	雷神	c=1 d=1 t=100882
lei si 	累死	c=1 d=1 t=185028
lei si 	蕾絲	c=3 d=1 t=119512
lei si 	類似	c=39 d=1 t=203386
lei si de 	類似的	c=1 d=1 t=198026
lei si yu 	類似於	c=8 d=1 t=174736
lei tiao 	雷跳	c=1 d=1 t=166395
lei tui 	類推	c=1 d=1 t=154799
lei xing 	類型	c=31 d=1.00001 t=157523
lei xing jiu hui 	類型就會	c=1 d=1 t=150514
lei zeng 	累增	c=1 d=1 t=137014
leng 	冷	c=17 d=1 t=192732
leng cun 	冷存	c=14 d=1.26059 t=123806
leng fan 	冷飯	c=1 d=1 t=87383
leng lian 	冷鏈	c=1 d=1 t=198743
leng men 	冷門	c=1 d=1 t=202391
leng mian 	冷麪	c=1 d=1 t=12668
leng qi dong 	冷啓動	c=1 d=0.1 t=196047
leng qi dong de 	冷啓動的	c=1 d=1 t=196048
leng qing 	冷清	c=1 d=1 t=125432
leng shui 	冷水	c=1 d=1 t=9939
li 	例	c=1 d=1 t=184373
li 	利	c=10 d=1 t=195651
li 	力	c=17 d=1 t=162599
li 	李	c=116 d=1 t=205130
li 	理	c=1 d=1 t=192633
li 	禮	c=1 d=1 t=194546
li 	立	c=31 d=1 t=203643
li 	粒	c=1 d=1 t=25666
li 	莉	c=2 d=1 t=52428
li 	裏	c=43 d=0.594109 t=196984
li 	離	c=9 d=1 t=201832
li 	麗	c=1 d=1 t=95501
li ao 	里奧	c=1 d=1 t=13236
li bu kai 	離不開	c=1 d=1 t=133954
li cai 	理財	c=7 d=1 t=115167
li cha 	理查	c=1 d=1 t=73652
li chang 	立場	c=2 d=1.97045 t=163326
li cheng 	歷程	c=6 d=1 t=195024
li cheng 	里程	c=84 d=0.1 t=202427
li cheng bei 	里程碑	c=1 d=1 t=70624
li cheng fei 	里程費	c=4 d=1.98511 t=171955
li dan ni 	李丹妮	c=3 d=1.72979 t=141534
li de 	立德	c=1 d=1 t=84075
li du 	力度	c=2 d=1 t=79904
li fa 	理髮	c=8 d=1.00016 t=85291
li gang 	離崗	c=1 d=1 t=102055
li gong 	理工	c=5 d=1 t=183979
li hai 	利害	c=1 d=1 t=165456
li hai 	厲害	c=25 d=1 t=205350
li hai 	李海	c=3 d=2.14609 t=19750
li hong yi 	李宏毅	c=6 d=1 t=108685
li hun 	離婚	c=2 d=1 t=38473
li ji 	立即	c=5 d=1.02171 t=205323
li jian 	利劍	c=1 d=1 t=92481
li jie 	理解	c=67 d=1.95137 t=201464
li jie de 	理解的	c=2 d=1.99005 t=195058
li kai 	離開	c=26 d=0.1 t=194793
li kai ba 	離開吧	c=1 d=1 t=194794
li ke 	立刻	c=2 d=1 t=84185
li kong 	利空	c=1 d=1 t=111779
li lao shi 	李老師	c=2 d=1 t=194816
li li 	莉莉	c=2 d=1.96079 t=103777
li liang 	力量	c=2 d=1 t=114767
li lun 	理論	c=31 d=1.86382 t=196219
li lun shang 	理論上	c=3 d=1 t=159326
li ma 	立馬	c=18 d=1 t=206422
li mian 	裏面	c=520 d=2.14166 t=206484
li mian de 	裏面的	c=9 d=2.537 t=203534
li mian tong ji 	裏面統計	c=2 d=1 t=202139
li ming 	黎明	c=2 d=1 t=134917
li nian 	理念	c=3 d=1 t=170312
li ning 	李寧	c=4 d=1 t=173228
li peng fei 	李鵬飛	c=2 d=1.00025 t=146898
li pin 	禮品	c=0 d=0.1 t=199050
li pin ka 	禮品卡	c=1 d=1 t=199051
li pu 	離譜	c=3 d=1.00102 t=199447
li pu ba 	離譜吧	c=1 d=1 t=197457
li pu de 	裏鋪的	c=1 d=1 t=196985
li qi 	利器	c=1 d=1 t=130546
li qi 	力氣	c=2 d=1 t=159544
li qun 	離羣	c=2 d=1.79453 t=57791
li ru 	例如	c=22 d=1 t=203718
li run 	利潤	c=3 d=1 t=143428
li san 	離散	c=8 d=1 t=189249
li san hua 	離散化	c=5 d=1 t=196153
li shi 	歷史	c=74 d=2.06071 t=203540
li shi de 	歷史的	c=1 d=1 t=201033
li shi shang 	歷史上	c=1 d=1 t=129686
li shi shi 	李世石	c=2 d=1.06266 t=161522
li shi tian qi 	歷史天氣	c=1 d=1 t=74647
li shi xi 	歷史系	c=1 d=1 t=66361
li suo dang ran 	理所當然	c=1 d=0.138069 t=4073
li ti sheng 	立體聲	c=1 d=1 t=114026
li wai 	例外	c=1 d=0.00683978 t=4073
li wen 	李文	c=0 d=0.1 t=103516
li wen liang 	李文亮	c=3 d=2.0383 t=104145
li wo 	理我	c=1 d=1 t=189618
li wu 	禮物	c=5 d=1.01139 t=84408
li xi 	利息	c=1 d=1 t=39934
li xia 	立下	c=3 d=2.91202 t=92718
li xian 	離線	c=115 d=1.02429 t=202426
li xian de 	離線的	c=1 d=1 t=202144
li xian jie guo 	離線結果	c=1 d=1 t=150286
li xian tong ji 	離線統計	c=1 d=1 t=173916
li xiang 	理想	c=8 d=0.1 t=199782
li xiang guo 	理想國	c=18 d=1 t=120695
li xiang zhong de 	理想中的	c=1 d=1 t=199783
li xiao lai 	李笑來	c=10 d=1.99501 t=168305
li xing 	例行	c=244 d=1 t=205595
li xing 	理性	c=5 d=1.02573 t=171530
li xu 	李旭	c=0 d=0.1 t=124380
li xu yao 	裏需要	c=1 d=1 t=22959
li xu zhi 	李旭值	c=1 d=1 t=124381
li yan hong 	李彥宏	c=1 d=1 t=37189
li yi 	利益	c=1 d=1 t=138277
li yong 	利用	c=238 d=1.00001 t=204233
li yong lv 	利用率	c=4 d=1 t=197775
li you 	理由	c=17 d=1 t=198472
li zhi 	立志	c=2 d=1 t=17544
li zhi 	離職	c=17 d=1 t=199396
li zhi gang 	李志剛	c=1 d=1 t=66969
li zi 	例子	c=18 d=1 t=198140
lian 	璉	c=1 d=1 t=172324
lian 	聯	c=2 d=1 t=136106
lian 	臉	c=7 d=1 t=132113
lian 	蓮	c=1 d=1 t=160691
lian 	連	c=34 d=1 t=203327
lian 	鍊	c=2 d=1.97531 t=126166
lian 	鏈	c=7 d=1 t=150660
lian biao 	鏈表	c=1 d=1 t=9171
lian bu lian xu 	連不連續	c=1 d=1 t=112692
lian bu shang 	連不上	c=2 d=1 t=135636
lian chuan 	連串	c=1 d=1 t=110417
lian dao 	連到	c=1 d=1 t=5521
lian dao 	鐮刀	c=1 d=1 t=83504
lian dong 	聯動	c=1 d=1 t=7949
lian ge 	連個	c=5 d=1 t=85716
lian he 	聯合	c=13 d=1 t=99710
lian ji 	聯機	c=2 d=1 t=150426
lian jia 	廉價	c=0 d=0.173712 t=97600
lian jia de 	廉價地	c=1 d=1 t=97601
lian jia wu bi 	廉價無比	c=1 d=1 t=97540
lian jie 	連接	c=53 d=2.3731 t=201416
lian jie 	鏈接	c=156 d=1.00003 t=206486
lian jie ceng 	鏈接層	c=1 d=1 t=31391
lian jie de 	連接的	c=1 d=1 t=183067
lian jie ku 	鏈接庫	c=1 d=1 t=69595
lian jin 	鍊金	c=6 d=1.99448 t=127105
lian jin shu shi 	鍊金術士	c=1 d=1 t=127373
lian lian 	連連	c=3 d=1 t=82606
lian meng 	聯盟	c=4 d=1 t=124686
lian min 	憐憫	c=0 d=0.1 t=134130
lian min he 	憐憫和	c=1 d=1 t=134131
lian pen 	臉盆	c=1 d=1 t=16051
lian qi lai 	連起來	c=1 d=1 t=13100
lian shang 	臉上	c=1 d=1 t=31048
lian shi 	鏈式	c=4 d=1 t=138661
lian suo 	連鎖	c=1 d=1 t=134034
lian ti 	連體	c=1 d=1 t=182138
lian tiao 	聯調	c=1 d=1 t=204463
lian tong 	聯通	c=1 d=1 t=58093
lian tong 	連通	c=3 d=1.26448 t=193527
lian wang 	聯網	c=4 d=2.02534 t=133106
lian wo 	連我	c=1 d=1 t=116571
lian xi 	練習	c=5 d=1 t=152369
lian xi 	聯繫	c=55 d=1 t=206406
lian xi ren 	聯繫人	c=1 d=1 t=191781
lian xi shang 	聯繫上	c=1 d=1 t=147445
lian xi tu 	練習圖	c=1 d=1 t=120872
lian xi wo 	聯繫我	c=1 d=1 t=198854
lian xian 	連線	c=3 d=1 t=190182
lian xu 	連續	c=52 d=1 t=202274
lian xu xing 	連續性	c=9 d=3.33783 t=113681
lian zai 	連在	c=1 d=1 t=96894
liang 	亮	c=20 d=1 t=199434
liang 	兩	c=19 d=1 t=204243
liang 	樑	c=7 d=1 t=185599
liang 	涼	c=4 d=1 t=143094
liang 	良	c=7 d=1 t=175858
liang 	輛	c=1 d=1 t=157724
liang 	量	c=119 d=1 t=206652
liang 	靚	c=1 d=1 t=190873
liang bai 	兩百	c=1 d=1 t=99055
liang bao 	兩包	c=2 d=1.84366 t=115996
liang bei 	兩倍	c=3 d=1 t=165277
liang bei 	兩杯	c=1 d=1 t=145649
liang ben 	兩本	c=3 d=1 t=96925
liang ben shu 	兩本書	c=2 d=1 t=112498
liang bian 	兩邊	c=9 d=1 t=203198
liang bu 	兩步	c=6 d=1 t=180233
liang bu fen 	兩部分	c=8 d=1.73345 t=160279
liang ceng 	兩層	c=5 d=1.06298 t=204985
liang chu 	兩處	c=1 d=1.08564 t=93666
liang ci 	兩次	c=17 d=1 t=200528
liang da 	兩大	c=2 d=1 t=166658
liang dao 	兩道	c=1 d=1 t=32412
liang de 	涼的	c=1 d=1 t=88562
liang dian 	亮點	c=1 d=1 t=37192
liang dian 	兩點	c=10 d=1 t=197887
liang du 	亮度	c=2 d=1.99501 t=33019
liang duan 	兩段	c=4 d=1 t=166948
liang fen 	兩份	c=7 d=1.00004 t=199076
liang fen 	兩分	c=1 d=1 t=112475
liang fen gong 	兩份工	c=1 d=1 t=131421
liang fen zhong 	兩分鐘	c=3 d=1 t=130513
liang ge 	兩個	c=238 d=2.57598 t=205479
liang ge cai 	兩個菜	c=1 d=1 t=185637
liang ge chuan lian 	兩個串聯	c=1 d=1 t=182801
liang ge dou shi 	兩個都是	c=1 d=1 t=148933
liang ge huan jing 	兩個環境	c=1 d=1 t=181942
liang ge ju zi 	兩個句子	c=1 d=1 t=95326
liang ge ren 	兩個人	c=1 d=1 t=15980
liang ge yue 	兩個月	c=3 d=1 t=192875
liang guang 	兩廣	c=1 d=1 t=45449
liang hang 	兩行	c=1 d=1 t=94045
liang hao 	良好	c=2 d=1 t=98800
liang hao de 	良好的	c=2 d=1 t=196533
liang hua 	量化	c=41 d=1.24227 t=183437
liang ji 	兩級	c=1 d=1 t=184198
liang jia 	兩家	c=1 d=1 t=90581
liang jian 	兩件	c=4 d=0.1 t=185659
liang jian shi qing 	兩件事情	c=1 d=1 t=185660
liang jiu 	良久	c=1 d=1 t=139354
liang lei 	兩類	c=4 d=1 t=147687
liang liang 	兩兩	c=6 d=1 t=124600
liang liang 	涼涼	c=2 d=1 t=164011
liang lun 	兩輪	c=5 d=1 t=125069
liang mian 	兩面	c=1 d=1 t=125188
liang ming 	兩名	c=1 d=1 t=132102
liang nan 	兩難	c=1 d=1 t=134151
liang nian 	兩年	c=7 d=1 t=162273
liang pian 	兩篇	c=4 d=1 t=174218
liang ren 	兩人	c=1 d=1 t=199075
liang ru 	良懦	c=1 d=1 t=53635
liang shao 	量少	c=2 d=1 t=141197
liang shen 	量身	c=1 d=1 t=23379
liang tai 	兩臺	c=16 d=1 t=205124
liang tang 	兩趟	c=1 d=1 t=25982
liang tao 	兩套	c=2 d=1 t=158060
liang tian 	兩天	c=15 d=0.1 t=201528
liang tian de 	兩天的	c=1 d=1 t=201529
liang tiao 	兩條	c=12 d=1 t=206253
liang tiao xian 	兩條線	c=2 d=1.94176 t=99303
liang wei 	兩位	c=1 d=1 t=93629
liang xi 	涼蓆	c=1 d=1 t=16036
liang xiao shi 	兩小時	c=2 d=1 t=166138
liang xin 	良心	c=0 d=0.1 t=7049
liang xin dao 	良心到	c=1 d=1 t=7050
liang yi jia 	晾衣架	c=2 d=1.48675 t=25917
liang yuan 	兩元	c=1 d=1 t=187167
liang zhang 	兩張	c=4 d=1 t=166263
liang zhe 	兩者	c=2 d=1 t=168761
liang zhi 	兩隻	c=1 d=1 t=103750
liang zhi jian 	量之間	c=1 d=1 t=22212
liang zhong 	兩種	c=28 d=1 t=185163
liang zhou 	兩週	c=9 d=0.125097 t=197091
liang zhou nei 	兩週內	c=1 d=1 t=197092
liang zhou nian 	兩週年	c=1 d=1 t=145438
liang zhu 	梁祝	c=3 d=2.45594 t=58519
liang zu 	兩組	c=7 d=1 t=197177
liang zu zui xiao 	兩組最小	c=1 d=1 t=189474
liao 	了	c=2 d=1 t=125141
liao 	料	c=1 d=1 t=139203
liao 	燎	c=1 d=1 t=97611
liao 	聊	c=10 d=1.99501 t=180826
liao biao 	聊表	c=1 d=1 t=171806
liao bu qi 	了不起	c=1 d=1 t=95570
liao guo 	聊過	c=1 d=1 t=40241
liao jie 	了結	c=0 d=0.1 t=138304
liao jie 	瞭解	c=40 d=1 t=204345
liao jie dao 	瞭解到	c=3 d=1 t=194417
liao jie de 	了結得	c=1 d=1 t=138305
liao li 	料理	c=2 d=1 t=147911
liao liao 	聊聊	c=1 d=1 t=29218
liao liao wu ji 	寥寥無幾	c=1 d=1 t=168681
liao sheng yu wu 	聊勝於無	c=1 d=1 t=203933
liao tian 	聊天	c=14 d=1.06412 t=185835
lie 	列	c=19 d=1 t=203356
lie 	烈	c=1 d=1 t=107552
lie 	裂	c=1 d=1 t=94332
lie bian 	裂變	c=1 d=0.1 t=203666
lie bian cheng 	裂變成	c=1 d=1 t=203667
lie biao 	列表	c=39 d=1 t=200202
lie chu 	列出	c=5 d=1 t=200126
lie mo shi 	列模式	c=1 d=1 t=76644
lie ren 	獵人	c=3 d=1.9802 t=156654
lin 	林	c=61 d=1 t=194829
lin 	臨	c=1 d=1 t=165516
lin chuang 	臨牀	c=1 d=1 t=138314
lin gao 	臨高	c=8 d=1 t=101583
lin hai 	林海	c=1 d=1 t=65496
lin hai 	臨海	c=8 d=1 t=203897
lin jie 	臨界	c=1 d=1 t=168135
lin jie 	鄰接	c=1 d=1 t=144442
lin jin 	臨近	c=1 d=1 t=111618
lin ke 	林克	c=5 d=2.87912 t=87317
lin ren 	鄰人	c=1 d=1 t=98523
lin shi 	臨時	c=17 d=1 t=206041
lin si 	臨死	c=1 d=1 t=136526
lin xi 	林夕	c=1 d=1 t=42430
lin ye 	林業	c=1 d=1 t=64543
lin zhong 	林中	c=1 d=1 t=79989
ling 	令	c=2 d=1 t=88418
ling 	凌	c=8 d=1 t=204536
ling 	另	c=5 d=1.05756 t=102565
ling 	玲	c=1 d=1 t=39922
ling 	零	c=17 d=1 t=191062
ling 	靈	c=13 d=1 t=179884
ling 	領	c=4 d=1 t=148750
ling chen 	凌晨	c=3 d=1 t=175824
ling cun 	另存	c=1 d=1 t=75879
ling dao 	領到	c=1 d=1 t=48991
ling dao 	領導	c=2 d=1 t=102069
ling di 	領地	c=1 d=1 t=49983
ling dian 	零點	c=1 d=1 t=81224
ling gan 	靈感	c=8 d=1 t=200025
ling he 	零和	c=1 d=1 t=171224
ling hua qian 	零花錢	c=4 d=1 t=128905
ling hui 	領會	c=2 d=1 t=114762
ling hun 	靈魂	c=2 d=1.97045 t=153456
ling huo 	靈活	c=3 d=1 t=137424
ling huo xing 	靈活性	c=2 d=1 t=154104
ling ji chu 	零基礎	c=1 d=1 t=23962
ling jian 	零件	c=2 d=1 t=135920
ling lei 	另類	c=1 d=1 t=71348
ling ling 	零零	c=1 d=1 t=48733
ling min 	靈敏	c=3 d=2.2702 t=52832
ling qian 	零錢	c=1 d=1 t=9770
ling qu 	領取	c=4 d=1 t=204947
ling ren 	令人	c=5 d=1 t=175955
ling san 	零散	c=2 d=1 t=93384
ling sheng 	鈴聲	c=1 d=1 t=134701
ling shi 	零食	c=3 d=1 t=159108
ling sui 	零碎	c=1 d=1 t=21874
ling tang 	靈堂	c=1 d=1 t=56379
ling wai 	另外	c=158 d=1.00007 t=206471
ling wai yi dian 	另外一點	c=1 d=1 t=122754
ling wu 	領悟	c=1 d=1 t=89123
ling xi 	靈犀	c=23 d=1 t=164978
ling xian 	領先	c=3 d=1 t=189857
ling xiao 	凌霄	c=5 d=1 t=200767
ling xiu 	領袖	c=1 d=1 t=186587
ling yi 	另一	c=0 d=0.1 t=5836
ling yi ge 	另一個	c=2 d=1 t=150128
ling yi tao 	另一套	c=1 d=1 t=5837
ling ying 	領英	c=3 d=1 t=95981
ling yu 	領域	c=16 d=1 t=201800
ling yu de 	領域的	c=1 d=1 t=183079
ling yun 	凌雲	c=1 d=1 t=151370
linux 	Linux	c=1 d=1 t=141530
liu 	六	c=12 d=1 t=200375
liu 	劉	c=85 d=1.12807 t=206022
liu 	柳	c=5 d=1 t=194792
liu 	流	c=23 d=1 t=206161
liu 	留	c=11 d=1 t=202540
liu chang 	流暢	c=1 d=1 t=172620
liu cheng 	流程	c=92 d=1.09704 t=203447
liu cheng tu 	流程圖	c=1 d=1 t=136858
liu cun 	留存	c=1 d=1 t=153696
liu dao 	留到	c=1 d=1 t=131407
liu dian 	六點	c=1 d=1 t=123545
liu dian 	留點	c=1 d=1 t=94845
liu dong 	流動	c=1 d=1 t=7352
liu dong xing 	流動性	c=2 d=1 t=106168
liu fang 	流放	c=1 d=1 t=103518
liu fei 	劉飛	c=5 d=1.98511 t=204774
liu ge 	六個	c=2 d=1 t=159530
liu gei 	留給	c=4 d=1 t=144358
liu han 	流汗	c=1 d=0.00499159 t=4073
liu ji 	六級	c=2 d=1 t=169833
liu lan 	瀏覽	c=22 d=1 t=205028
liu lan qi 	瀏覽器	c=4 d=1 t=156421
liu lang 	流浪	c=1 d=1 t=114632
liu lian 	榴槤	c=3 d=1 t=90395
liu liang 	流量	c=65 d=1.02984 t=206278
liu liang ma 	流量嗎	c=1 d=1 t=198797
liu mang 	流氓	c=3 d=1 t=116759
liu nian 	留念	c=3 d=1 t=195863
liu qing 	柳青	c=2 d=1 t=195006
liu ru 	流入	c=1 d=1 t=53636
liu shi 	流失	c=3 d=1 t=206636
liu shui 	流水	c=5 d=1 t=136017
liu shui zhang 	流水帳	c=1 d=1 t=164737
liu tong 	流通	c=1 d=1 t=103472
liu xia 	留下	c=15 d=1 t=199898
liu xia lai 	留下來	c=1 d=1 t=143250
liu xiang 	流向	c=1 d=1 t=103465
liu xin yue 	劉欣悅	c=1 d=1 t=69980
liu xing 	流行	c=1 d=1 t=162357
liu xing bing 	流行病	c=2 d=1.96079 t=103383
liu yan 	留言	c=5 d=0.165219 t=120011
liu yan liang 	留言量	c=1 d=1 t=120012
liu yi 	留意	c=1 d=1 t=61427
liu ying 	留影	c=1 d=1 t=146864
liu yue 	劉玥	c=1 d=1 t=99149
liu zai 	留在	c=1 d=1 t=88905
liu zhu 	留住	c=1 d=1 t=182996
liu zou 	溜走	c=1 d=1 t=68622
long 	籠	c=1 d=1 t=180371
long 	隆	c=3 d=1 t=94081
long 	龍	c=37 d=1.93707 t=205535
long gong 	龍宮	c=1 d=1 t=87142
long ling 	龍嶺	c=1 d=1 t=147511
long quan 	龍泉	c=1 d=1 t=114224
long wang 	龍王	c=1 d=1 t=27349
long xia 	龍蝦	c=3 d=1 t=32948
long ya 	龍牙	c=1 d=1 t=62172
long zu 	龍族	c=1 d=1 t=87138
lou 	婁	c=1 d=1 t=43728
lou 	樓	c=14 d=1.52205 t=175145
lou 	漏	c=2 d=1 t=200055
lou dao 	樓道	c=1 d=1 t=122733
lou dong 	漏洞	c=1 d=3.88812e-05 t=4073
lou dou 	漏斗	c=1 d=1 t=121932
lou shang 	樓上	c=2 d=1 t=78978
lou tai 	樓臺	c=1 d=1 t=192540
lou ti kou 	樓梯口	c=1 d=1 t=45274
lou tian 	漏填	c=1 d=0.1 t=16654
lou tian lv 	漏填率	c=1 d=1 t=16655
lou wang 	漏網	c=1 d=1 t=158723
lou xia 	樓下	c=2 d=1 t=193909
lou zhu 	樓主	c=4 d=1 t=179757
lu 	擼	c=5 d=1 t=154668
lu 	爐	c=1 d=1 t=29673
lu 	璐	c=16 d=2.45787 t=179690
lu 	盧	c=8 d=1 t=130575
lu 	路	c=64 d=1.00005 t=201923
lu 	錄	c=8 d=1 t=195359
lu 	陸	c=12 d=1 t=151184
lu 	露	c=16 d=1 t=203419
lu 	魯	c=2 d=1.05029 t=50864
lu ban 	魯班	c=22 d=1.97531 t=205125
lu bang 	魯棒	c=3 d=1.89583 t=57770
lu bang xing 	魯棒性	c=3 d=1 t=181000
lu bi 	盧比	c=1 d=1 t=46485
lu bian 	路邊	c=0 d=0.1 t=195112
lu bian deng che 	路邊等車	c=1 d=1 t=195113
lu bo 	錄播	c=1 d=1 t=61636
lu de 	錄的	c=0 d=0.1 t=192356
lu deng 	路燈	c=1 d=1 t=5971
lu duan 	路段	c=6 d=1 t=179856
lu fei 	路費	c=1 d=1 t=92137
lu guan 	爐管	c=1 d=1 t=43701
lu guo 	路過	c=1 d=1 t=146993
lu hu 	路虎	c=1 d=1 t=167417
lu jing 	路徑	c=21 d=1.0013 t=178180
lu jing gui hua 	路徑規劃	c=1 d=1 t=136290
lu jun 	陸軍	c=1 d=1 t=45450
lu kou 	路口	c=64 d=1.75578 t=199591
lu kuang 	路況	c=189 d=1.09633 t=205229
lu kuang xin xi 	路況信息	c=1 d=1 t=40663
lu mian 	路面	c=1 d=1 t=87656
lu qiao 	路橋	c=8 d=1 t=129344
lu qiao fei 	路橋費	c=1 d=1 t=47291
lu qu 	錄取	c=2 d=1 t=49151
lu shang 	路上	c=7 d=1 t=203976
lu shi 	爐石	c=28 d=1.0351 t=128079
lu wang 	路網	c=128 d=1.09005 t=204904
lu wang zhong 	路網中	c=1 d=1 t=204905
lu xian 	路線	c=353 d=1.27397 t=204745
lu xian de 	路線的	c=2 d=1 t=205736
lu xian ye 	路線也	c=1 d=1 t=159466
lu xian zhi liang 	路線質量	c=1 d=1 t=142026
lu xu 	陸續	c=2 d=1 t=96308
lu yi 	陸毅	c=1 d=1 t=77092
lu yi ji 	路易吉	c=2 d=1.9802 t=124747
lu yin 	錄音	c=2 d=1 t=178669
lu you 	路由	c=2 d=1 t=99138
lu you qi 	路由器	c=10 d=1.956 t=132525
lu zhi 	錄製	c=7 d=1 t=180227
luan 	亂	c=9 d=1 t=193460
luan guang 	亂逛	c=1 d=1 t=82960
luan hei 	亂黑	c=1 d=1 t=30088
luan hua 	亂花	c=1 d=1 t=38358
luan kou mao zi 	亂扣帽子	c=1 d=1 t=134163
luan qi ba zao 	亂七八糟	c=1 d=1 t=154860
luan tian 	亂填	c=1 d=0.0391639 t=4073
lun 	倫	c=2 d=1 t=199405
lun 	論	c=10 d=1 t=174933
lun 	輪	c=18 d=1.6912 t=205316
lun che 	輪車	c=1 d=1 t=174351
lun dao 	輪到	c=1 d=1 t=159255
lun duan 	論斷	c=1 d=1 t=134081
lun dun 	倫敦	c=1 d=1 t=58433
lun fan 	輪番	c=1 d=1 t=194976
lun jin 	論斤	c=1 d=1 t=85486
lun kong 	輪空	c=2 d=1.98511 t=45176
lun li 	倫理	c=2 d=1.99501 t=95955
lun liu 	輪流	c=4 d=1 t=117260
lun luo 	淪落	c=1 d=0.1 t=163964
lun luo dao 	淪落到	c=2 d=1 t=171825
lun shu 	輪數	c=3 d=1 t=88358
lun tan 	論壇	c=8 d=1 t=183453
lun ti 	論題	c=6 d=0.947223 t=134216
lun ti shang 	論題上	c=2 d=1.96079 t=134225
lun wen 	論文	c=180 d=1.31176 t=205423
lun wen ba 	論文把	c=1 d=1 t=144264
lun wen shi 	論文是	c=1 d=1 t=204082
lun wen zhong 	論文中	c=1 d=1 t=189163
lun xian 	淪陷	c=1 d=1 t=60275
lun zhan 	論戰	c=1 d=1 t=134230
lun zheng 	論證	c=5 d=1 t=139184
lun zheng zhong 	論證中	c=1 d=1 t=134059
lun zi 	輪子	c=2 d=1.93239 t=30732
luo 	羅	c=24 d=1 t=183845
luo 	落	c=7 d=1 t=186077
luo 	駱	c=2 d=1.82283 t=8532
luo dao 	落到	c=2 d=1 t=128261
luo de 	羅德	c=2 d=1.9802 t=104129
luo di 	落地	c=1 d=1 t=124656
luo hou 	落後	c=4 d=1 t=195320
luo hua 	落花	c=1 d=1 t=78281
luo ji 	羅技	c=2 d=1 t=158801
luo ji 	邏輯	c=42 d=1 t=205636
luo ji shang 	邏輯上	c=1 d=1 t=190930
luo ji tu 	邏輯圖	c=2 d=1.94176 t=138802
luo lao shi 	羅老師	c=1 d=1 t=114386
luo lie 	羅列	c=10 d=1 t=171014
luo neng 	羅能	c=1 d=1 t=35201
luo ru 	落入	c=3 d=1 t=175678
luo si 	螺螄	c=1 d=1 t=146487
luo suo 	羅嗦	c=1 d=1 t=161434
luo tuo 	駱駝	c=2 d=1 t=149146
luo wang 	羅網	c=2 d=1 t=140581
luo yong 	羅永	c=1 d=1 t=136178
luo yong hao 	羅永浩	c=9 d=1 t=151946
luo zai 	落在	c=13 d=1.00229 t=108620
